Step,GAN_A-202102240258 - accuracy
1699,0.4375
1700,0.3125
1701,0.34375
1702,0.3125
1703,0.34375
1704,0.21875
1705,0.28125
1706,0.40625
1707,0.5
1708,0.25
1709,0.25
1710,0.375
1711,0.375
1712,0.1875
1713,0.34375
1714,0.34375
1715,0.5625
1716,0.375
1717,0.53125
1718,0.28125
1719,0.28125
1720,0.375
1721,0.28125
1722,0.3125
1723,0.375
1724,0.5
1725,0.3125
1726,0.40625
1727,0.3125
1728,0.3125
1729,0.375
1730,0.375
1731,0.53125
1732,0.375
1733,0.59375
1734,0.4375
1735,0.21875
1736,0.34375
1737,0.28125
1738,0.28125
1739,0.375
1740,0.46875
1741,0.3125
1742,0.5
1743,0.3125
1744,0.3125
1745,0.3125
1746,0.21875
1747,0.40625
1748,0.34375
1749,0.25
1750,0.25
1751,0.375
1752,0.375
1753,0.1875
1754,0.4375
1755,0.1875
1756,0.25
1757,0.21875
1758,0.3125
1759,0.375
1760,0.34375
1761,0.28125
1762,0.40625
1763,0.5
1764,0.28125
1765,0.3125
1766,0.28125
1767,0.4375
1768,0.25
1769,0
1770,0.3125
1771,0.3125
1772,0.3125
1773,0.28125
1774,0.25
1775,0.34375
1776,0.34375
1777,0.28125
1778,0.46875
1779,0.25
1780,0.25
1781,0.1875
1782,0.40625
1783,0.28125
1784,0.40625
1785,0.21875
1786,0.3125
1787,0.4375
1788,0.375
1789,0.5
1790,0.25
1791,0.375
1792,0.375
1793,0.3125
1794,0.34375
1795,0.21875
1796,0.34375
1797,0.28125
1798,0.4375
1799,0.40625
1800,0.28125
1801,0.28125
1802,0.34375
1803,0.375
1804,0.5
1805,0.40625
1806,0.4375
1807,0.4375
1808,0.46875
1809,0.4375
1810,0.3125
1811,0.375
1812,0.3125
1813,0.53125
1814,0.3125
1815,0.375
1816,0.28125
1817,0.375
1818,0.3125
1819,0.375
1820,0.3125
1821,0.28125
1822,0.1875
1823,0.3125
1824,0.34375
1825,0.25
1826,0.15625
1827,0.3125
1828,0.40625
1829,0.25
1830,0.5
1831,0.40625
1832,0.3125
1833,0.3125
1834,0.34375
1835,0.375
1836,0.46875
1837,0.28125
1838,0.25
1839,0.0625
1840,0.375
1841,0.28125
1842,0.21875
1843,0.34375
1844,0.34375
1845,0.28125
1846,0.4375
1847,0.25
1848,0.40625
1849,0.40625
1850,0.3125
1851,0.3125
1852,0.34375
1853,0.4375
1854,0.28125
1855,0.25
1856,0.1875
1857,0.3125
1858,0.3125
1859,0.375
1860,0.3125
1861,0.28125
1862,0.28125
1863,0.25
1864,0.34375
1865,0.4375
1866,0.40625
1867,0.3125
1868,0.4375
1869,0.15625
1870,0.28125
1871,0.3125
1872,0.34375
1873,0.3125
1874,0.34375
1875,0.53125
1876,0.40625
1877,0.21875
1878,0.1875
1879,0.40625
1880,0.375
1881,0.3125
1882,0.375
1883,0.5625
1884,0.375
1885,0.375
1886,0.4375
1887,0.28125
1888,0.46875
1889,0.4375
1890,0.375
1891,0.40625
1892,0.375
1893,0.375
1894,0.4375
1895,0.21875
1896,0.34375
1897,0.28125
1898,0.46875
1899,0.3125
1900,0.46875
1901,0.5
1902,0.46875
1903,0.34375
1904,0.4375
1905,0.25
1906,0.25
1907,0.4375
1908,0.4375
1909,0.4375
1910,0.53125
1911,0.4375
1912,0.3125
1913,0.34375
1914,0.375
1915,0.3125
1916,0.3125
1917,0.34375
1918,0.21875
1919,0.4375
1920,0.34375
1921,0.40625
